SnomedCT_ConceptID,description,condition
70747007,"Single major depressive episode, partial or unspecied remission",gp_cmd
764691000000109,"Recurrent major depressive episodes, partial/unspecified remission",gp_cmd
765176007,"Recurrent depressive disorder, current episode severe with psychotic symptoms",gp_cmd
292601005,"[X]Antiasthmatics adv eff,NEC",gp_asthma
170635006,Asthma not disturbing sleep,gp_asthma
185737001,Asthma monitoring deleted,gp_asthma
713701000000108,Asthma monitoring admin.NOS,gp_asthma
171231001,Asthma screening,gp_asthma
195213000,Cerebellar stroke syndrome,gp_cvd
233826005,Acute non-Q wave infarction - anteroseptal,gp_cvd
315287002,Diabetes mellitus insulin-glucose infusion in acute myocardial infarction,gp_cvd
443502000,Coronary atherosclerosis,gp_cvd
62695002,Acute anteroseptal myocardial infarction,gp_cvd
1084061000000106,[X]Dysthymia,gp_cmd
191604000,Severe depressive episode with psychotic symptoms,gp_cmd
307077003,loss of hope for the future,gp_cmd
366979004,depressed mood,gp_cmd
395017009,c/o - panic attack,gp_cmd
413972000,Depression annual review,gp_cmd
417676004,o/e - panic attack,gp_cmd
717021000000106,Chronic obstructive pulmonary disease monitoring 2nd letter,gp_copd
723245007,Number of COPD exacerbations in past year,gp_copd
370219009,Moderate asthma,gp_asthma
170655007,Asthma restricts exercise,gp_asthma
1066231000000103,COPD monitoring email invitation,gp_copd
12295008,Bronchiectasis NOS,gp_copd
13645005,Other specified chronic obstructive pulmonary disease,gp_copd
195960004,(Bullous emphysema with collapse) or (tension pneumatocoele),gp_copd
201671000000104,Home oxygen supply - cylinder,gp_copd
204991000000107,Suspected chronic obstructive pulmonary disease,gp_copd
395159008,Chronic obstructive pulmonary disease leaflet given,gp_copd
708038006,Asthma attack,gp_asthma
161105008,Asthma society member,gp_asthma
407674008,Aspirin induced asthma,gp_asthma
201201000000105,Asthma trigger - damp,gp_asthma
201051000000101,Asthma trigger - animals,gp_asthma
194849004,Ischaemic cardiomyopathy,gp_cvd
233822007,Ischaemic cardiomyopathy,gp_cvd
233827001,Acute Q wave infarction - anterolateral,gp_cvd
304914007,Acute Q wave myocardial infarction,gp_cvd
366874008,Num asthm exacs in past year,gp_asthma
1086471000000103,"Recurrent depressive disorder, current episode severe with psychotic symptoms",gp_cmd
191724005,"social phobia-eating in public | social phobia, fear of eating in public",gp_cmd
192045005,acute stress reaction nos,gp_cmd
231499006,Single major depressive episode,gp_cmd
310496002,[X]Moderate depressive episode,gp_cmd
58963008,acrophobia,gp_cmd
198971000000102,Asthma outreach clinic,gp_asthma
183478001,"Emergency admission, asthma",gp_asthma
71892000,Left ventricular failure,gp_asthma
66344007,"[X]Recurrent depressive disorder, current episode severe without psychotic  symptoms",gp_cmd
764639002,Antidepress drug treat started,gp_cmd
823501000000106,Antidepress drug treat changed,gp_cmd
292545003,"[X]Antiasthmatics adv eff,NEC",gp_asthma
406162001,Asthma management plan given,gp_asthma
170634005,Asthma disturbs sleep freqntly,gp_asthma
811961000000106,COPD self-management plan agreed,gp_copd
85915003,Laryngotracheobronchitis,gp_copd
312453004,Asthma - currently active,gp_asthma
1066841000000108,COPD monitoring SMS text message second invitation,gp_copd
170621009,Home oxygen supply stopped,gp_copd
195951007,Acute exacerbation of chronic obstructive airways disease,gp_copd
196144009,Acute interstitial emphysema,gp_copd
268512000,Home oxygen supply,gp_copd
313296004,Mild chronic obstructive pulmonary disease,gp_copd
371611000000107,COPD patient unsuitable for pulmonary rehabilitation,gp_copd
405944004,Wheezy bronchitis,gp_copd
4981000,Panlobular emphysema,gp_copd
268511007,Respiratory disease monitoring,gp_asthma
811921000000103,Asthma self-manage plan agreed,gp_asthma
340891000000106,Asthma trigger - airborne dust,gp_asthma
811151000000105,Num dy abs sch asthma pst 6 mn,gp_asthma
195201005,Multiple and bilateral precerebral artery syndromes,gp_cvd
233838001,Acute posterior myocardial infarction,gp_cvd
394710008,First myocardial infarction,gp_cvd
5370000,Atrial flutter,gp_cvd
95460007,Cerebellar infarction,gp_cvd
