bnf_code,snomed_code,description,condition
0205051I0AAABAB,36739211000001105,Enalapril 5mg tablets,med_cvd
0205051I0AAABAB,36739611000001107,Enalapril 5mg tablets,med_cvd
0205051I0AAABAB,38881211000001106,Enalapril 5mg tablets,med_cvd
0205051I0AAABAB,38881311000001103,Enalapril 5mg tablets,med_cvd
0205051I0AAABAB,39415811000001103,Enalapril 5mg tablets,med_cvd
0205051I0AAABAB,39415911000001108,Enalapril 5mg tablets,med_cvd
0205051I0AAABAB,39416011000001100,Enalapril 5mg tablets,med_cvd
0205051I0AAABAB,40457511000001102,Enalapril 5mg tablets,med_cvd
0205051I0AAABAB,40457611000001103,Enalapril 5mg tablets,med_cvd
0205051I0AAABAB,41429911000001106,Enalapril 5mg tablets,med_cvd
0205051I0AAABAB,41430011000001101,Enalapril 5mg tablets,med_cvd
0205051I0AAABAB,42374311000001100,Enalapril 5mg tablets,med_cvd
0205051I0AAABAB,50211000001104,Enalapril 5mg tablets,med_cvd
0205051I0AAABAB,51511000001108,Enalapril 5mg tablets,med_cvd
0205051I0AAABAB,5625011000001106,Enalapril 5mg tablets,med_cvd
0205051I0AAABAB,5625111000001107,Enalapril 5mg tablets,med_cvd
0205051I0AAABAB,766411000001107,Enalapril 5mg tablets,med_cvd
0205051I0AAABAB,856011000001106,Enalapril 5mg tablets,med_cvd
0205051I0AAABAB,92211000001108,Enalapril 5mg tablets,med_cvd
0205051I0AAABAB,936511000001107,Enalapril 5mg tablets,med_cvd
0205051I0AAABAB,9794111000001102,Enalapril 5mg tablets,med_cvd
0205051I0AAABAB,9794211000001108,Enalapril 5mg tablets,med_cvd
0205051I0AAACAC,10405811000001102,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,10405911000001107,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,104511000001109,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,1100711000001105,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,115211000001105,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,11554111000001100,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,11554211000001106,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,127311000001103,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,13749911000001109,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,13750111000001104,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,1439811000001102,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,1439911000001107,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,1440011000001101,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,1440211000001106,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,1440311000001103,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,1440411000001105,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,1440511000001109,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,1441811000001104,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,1442811000001108,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,15969311000001102,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,15969511000001108,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,17901611000001106,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,17901711000001102,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,19191011000001106,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,19191111000001107,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,19727511000001108,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,19727611000001107,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,21934511000001104,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,21934611000001100,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,225811000001104,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,23483911000001108,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,23484011000001106,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,23881511000001106,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,23881611000001105,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,29848511000001106,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,29848611000001105,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,30125011000001101,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,30125111000001100,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,36609411000001107,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,36609511000001106,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,36739811000001106,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,36740111000001108,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,38880611000001103,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,38880711000001107,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,401711000001103,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,40457711000001107,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,40457811000001104,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,41429711000001109,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,41429811000001101,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,414411000001109,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,41613611000001108,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,41613711000001104,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,42374011000001103,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,450811000001105,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,5625211000001101,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,5625311000001109,Enalapril 10mg tablets,med_cvd
0205051I0AAACAC,676011000001102,Enalapril 10mg tablets,med_cvd
