Region,Neighbourhoods changing decile,Enhanced highest-need neighbourhoods newly prioritised,Local authorities changing decile,Enhanced highest-need local authorities newly prioritised
England,"48.1% (15,807/32,844)","21.7% (714/3,285)",40.8% (128/314),15.6% (5/32)
North East,"49.4% (818/1,657)",30.3% (126/416),50.0% (6/12),28.6% (2/7)
North West,"45.7% (2,053/4,497)",25.8% (227/881),30.8% (12/39),9.1% (1/11)
Yorkshire and The Humber,"41.5% (1,378/3,317)",17.7% (112/633),23.8% (5/21),0.0% (0/4)
East Midlands,"46.3% (1,284/2,774)",28.8% (72/250),57.5% (23/40),66.7% (2/3)
West Midlands,"40.9% (1,426/3,487)",13.9% (89/638),20.0% (6/30),0.0% (0/5)
East of England,"43.6% (1,576/3,614)",12.6% (14/111),33.3% (15/45),Not applicable
London,"65.6% (3,172/4,835)",9.1% (7/77),81.8% (27/33),Not applicable
South East,"47.9% (2,580/5,382)",21.7% (28/129),32.8% (21/64),0.0% (0/1)
South West,"46.3% (1,520/3,281)",26.0% (39/150),43.3% (13/30),0.0% (0/1)
