LAD20NM,rtrft_need_indx_reltv_indx_mean,std.dev,iqr,min,max,skewness,kurtosis,n.obs,missing.obs
Blackpool,2.4459,0.8855,1.4488,0.4078,4.3107,0.0593,-0.7275,94,0
Burnley,1.9669,1.0091,1.7804,0.3608,4.0559,-0.0408,-1.0972,60,0
Hyndburn,1.945,1.0803,1.8451,0.3648,4.0691,0.1442,-1.2755,52,0
Birmingham,1.8778,0.965,1.5887,0.0972,4.2036,0.0928,-0.9746,639,0
Blackburn with Darwen,1.8193,0.968,1.4074,0.1946,4.3357,0.1719,-0.5609,91,0
Wolverhampton,1.8158,0.7583,1.1825,0.3853,3.6155,0.2242,-0.6143,158,0
Pendle,1.802,1.0357,1.9591,0.4097,4.0259,0.3432,-1.0928,57,0
Liverpool,1.7818,0.9222,1.3847,0.0961,4.1597,0.1876,-0.5596,298,0
Sandwell,1.7806,0.7168,1.0464,0.3725,3.7261,0.2662,-0.3943,186,0
Torbay,1.7761,0.755,1.2027,0.4918,3.5527,0.2959,-0.6522,89,0
Hartlepool,1.7511,0.9436,1.4703,0.2042,4.0322,0.0687,-0.5451,58,0
South Tyneside,1.7339,0.8771,1.2166,0.2722,3.8158,0.2197,-0.6769,102,0
Walsall,1.7006,0.8627,1.3701,0.327,3.8521,0.1439,-0.8606,167,0
Barrow-in-Furness,1.6924,1.0238,1.6227,0.3827,3.9713,0.5536,-0.7227,49,0
Hastings,1.6769,0.7259,1.1825,0.4579,3.068,0.1766,-0.9144,53,0
Bradford,1.6719,0.9653,1.6123,0.1868,3.9132,0.2711,-0.9333,310,0
North East Lincolnshire,1.6411,1.0049,1.727,0.2427,4.1864,0.3433,-0.9354,106,0
Barnsley,1.6303,0.9029,1.2574,0.1811,4.3377,0.5149,-0.1294,147,0
East Lindsey,1.6076,0.9163,1.2381,0.3438,4.3104,1.0309,0.7447,81,0
Tendring,1.6074,0.9599,1.3781,0.1899,3.8382,0.7325,-0.2481,89,0
"Kingston upon Hull, City of",1.6007,0.8005,1.2335,0.1165,3.7216,0.2147,-0.6301,166,0
Sunderland,1.5995,0.8502,1.3438,0.2554,3.822,0.4163,-0.5804,185,0
Middlesbrough,1.5964,0.8698,1.3712,0.1875,3.4745,0.183,-1.0512,86,0
Oldham,1.5891,0.9207,1.5669,0.2426,3.8874,0.3486,-0.9315,141,0
Stoke-on-Trent,1.5879,0.7948,1.2685,0.2259,3.7796,0.2091,-0.8013,159,0
Rossendale,1.5671,0.8838,1.4619,0.2272,3.039,0.1732,-1.2834,43,0
Chesterfield,1.5627,0.7897,1.2168,0.2909,3.1796,0.0558,-0.9814,69,0
St. Helens,1.5411,0.8191,1.38,0.2263,3.8638,0.3059,-0.7146,119,0
Gateshead,1.5202,0.8541,1.4519,0.2117,3.4605,0.4029,-0.8738,126,0
County Durham,1.5098,0.8712,1.3355,0.1552,4.0951,0.4085,-0.5288,324,0
